,content
0,　　本报济南1月2日电 (记者潘俊强)日前，备受关注的济南“专车案”一审宣判。济南市市中区人民法院对济南市民陈超诉济南市城市公共客运管理服务中心行政处罚一案作出一审宣判，判决撤销济南市客管中心对“专车”司机陈超的行政处罚。
1,　　2015年1月，陈超在使用专车软件开“专车”送客时，被济南市客管中心认定为非法运营的“黑车”，予以查扣并处2万元罚款。随后，陈超对处罚结果不满，将济南市客管中心告上法庭，要求撤销行政处罚。
2,　　济南市市中区人民法院审理认为，本案中，陈超在与乘客通过网络约车软件取得联系后，使用未取得运营证的车辆将乘客送至目的地，并按约定收取了车费。陈超的行为构成未经许可擅自从事出租汽车客运经营，违反了现行法律的规定。但虑及网约车这种共享经济新业态的特殊背景，该行为的社会危害性较小。
3,　　同时，虽然被告对未经许可擅自从事出租汽车客运的行为可以依法进行处罚，但原告在本案所涉道路运输经营行为中仅具体实施了其中的部分行为，在现有证据下，被告将本案行政处罚所针对的违法行为及其后果全部归责于原告，并对其个人作出了较重的行政处罚，处罚幅度和数额畸重，存在明显不当。根据《中华人民共和国行政诉讼法》第七十条的规定精神，依法应当予以撤销。
4,　　本案宣判后，原告当庭表示不上诉，被告未当庭表示是否上诉。
5,　　编者按：新年伊始，新一批汽车新政如期而至。展望2017年的中国汽车市场，一些汽车新政无疑会对整个汽车市场格局以及产业结构调整产生不可忽视的导向作用，同时也会直接影响到消费者的日常汽车生活。
6,　　本文将对2017年的6项汽车新政进行总结，对其产生的影响也将进行预测和分析。
7,　　新能源汽车补贴退坡20%
8,　　政策：2016年12月30日，财政部、科技部、工业和信息化部、发展改革委联合发布了《关于调整新能源汽车推广应用财政补贴政策的通知》，通知明确将调整完善推广应用补贴政策。对新能源客车，以动力电池为补贴核心，以电池的生产成本和技术进步水平为核算依据，设定能耗水平、车辆续驶里程、电池/整车重量比重、电池性能水平等补贴准入门槛，并综合考虑电池容量大小、能量密度水平、充电倍率、节油率等因素确定车辆补贴标准。同时，分别设置中央和地方补贴上限，其中地方财政补贴(地方各级财政补贴总和)不得超过中央财政单车补贴额的50%。除燃料电池汽车外，各类车型2019年~2020年中央及地方补贴标准和上限，在现行标准基础上退坡20%。
9,　　影响：新能源汽车补贴退坡并不出乎意料。以一款帝豪EV为例，最大续航在250km以上，可享受国家和地方双重补贴，以北京为例，2017年再买车的话，可享受的补贴为8.8万元，补贴少了2.2万元。
