,content
0,　　新华社北京1月8日电(记者董瑞丰)军民融合发展已经上升为国家战略，但现阶段国防工业企业军民融合深度发展仍面临一系列问题。中国国防工业企业协会会长刘东奎8日表示，将建立军转民与民参军、技术创新与成果转化、产业促进、金融服务和国际合作五大服务平台，促进军民资源双向转移、良性互动。
1,　　中国国防工业企业军民融合产业联盟8日在北京宣布成立。刘东奎说，适时成立联盟，坚持“军民融合、凝聚资源、协同创新、服务产业”为宗旨，有望推动军民融合产业效益最大化、助力企业自身核心业务拓展。
2,　　数据显示，我国目前有十几万家民营高新技术企业，很多高新技术企业在新能源、新材料、电子信息产业方面可与传统军工企业相比肩，但却只有上千家民营企业进入军工行业。
3,　　对于现阶段军民融合面临的问题，刘东奎列举：从企业外部来看，军民融合管理体制不够顺畅，军民融合行业壁垒亟待突破，军民融合科技创新体系急需建立。从企业内部来说，企业产权与组织机构互相适应融合发展的要求，企业军民统筹的战略和机制尚需加强，军民产业与创新应用不能满足供给侧需求，国防科技企业抗风险能力弱，稳定持续发展能力不足。
4,　　“国防科技工业是军民融合的天然载体和核心领域。”刘东奎说，未来要着力搭建军民协同创新展示引导平台，提供与其他企事业单位相互促进和交流合作的机会，进一步促进联盟技术创新与成果转化平台落地。
5,　　工业和信息化部军民结合推进司有关负责人表示，要不断优化有利于军民融合深度发展的政策制度环境，打通阻碍融合的堵点。“希望联盟充分发挥自身优势，不断优化军民融合产业链，促进军民两用技术和产品推广应用，提升自主创新能力和核心竞争力。”
6,　　国家发展改革委经济与国防协调发展司有关人士说，积极探索国防科技工业军民融合发展新模式，联盟可以充分利用资源凝聚和平台服务功能，发挥成员单位的科技、市场等优势，大力促进相关产业军民深度融合发展。
7,　　据了解，该联盟由中国国防工业企业协会、中国长城工业集团有限公司、华夏幸福基业股份有限公司三家单位共同发起。
8,　　2017年，中国人民解放军迎来建军90周年。90年来，人民军队牢记使命、面向未来，不断提升科技含量，提升现代条件下的总体作战能力和水平，逐步建立起适应现代战争要求的实战能力和威慑能力。
9,　　就在新年前夕，中国海军航母编队赴西太平洋进行了首次远海演练，辽宁舰也受到海内外的高度关注。辽宁舰首次远海训练，都做了些什么呢？央视记者随辽宁舰采访拍摄了这次远海训练，一起来看看许多首次披露的故事和画面。
10,　　央视记者 胡善敏：我现在所处的位置是在辽宁舰的飞行甲板，执行跨海区训练和试验任务的辽宁舰官兵，正在展开多个科目的训练，穿着不同颜色服装的官兵在紧张的对舰载机进行转运。
11,　　说到辽宁舰的威力，歼15舰载机算得上最大的杀手锏。远海训练自然少不了舰载机，起航以来，辽宁舰航母编队从渤海到黄海，从东海到南海，歼15可以说是走一路练一路，开展了多个科目的编队和舰载机舰基战术训练。
12,　　航母编队指挥所参谋长 高兆瑞：按航母编成组织全要素全流程整体训练，构建航母编队远海作战指挥体系和保障体系，为辽宁舰进一步形成战斗力和保障力打下坚实基础。
13,　　当年火爆全国的“航母style”，如今，辽宁舰官兵对它进行了改进，这样的改进可不是为了帅，而是关乎到安全的需要。
14,　　辽宁舰航空部门起飞助理 纪明溪：新版的(style)其实我们叫起飞指令，新版的起飞指令我们从安全性和实用性考虑，对它进行合理的调整从原来的两点支撑姿势，变成现在的三点支撑姿势更加安全和稳固。
15,　　航空保障能力是航母战斗力的保证，这次跨海区训练，不仅进行了辽宁舰航母编队综合战力演练，还对辽宁舰的航空保障能力进行了实战化检验，使得辽宁舰从最初的训练舰一步步成为一艘具备作战能力的舰艇。
16,　　辽宁舰航空部门副航空长 王小伟：我们保障舰载机的数量也达到了最初的四倍，再次出动准备能力也提高了三倍多，一天舰载机的出动数量翻了两番。
17,　　中国人的航母梦始于辽宁舰，新的一年辽宁舰仍将承担着大量的试验训练任务，也将为我国后续航母的研发建设提供经验。
18,　　辽宁舰副政委 王泽森：新的一年，我们将按照预定的计划，进一步加大训练的难度和强度，积极探索航母作战运用的特点和规律，以战斗力生成的新成果，迎接党的十九大胜利召开。
19,"　　,中新社,南海某海域1月2日电 (莫小亮)执行跨海区训练试验任务的中国海军航母编队2日在南海某海域组织了歼-15舰载战斗机起降和编队等多科目训练。"
20,　　上午9时30分许，编号115的灰色“飞鲨”战机率先进入起飞位置，随着甲板起飞助理的放飞手势，开足马力，一飞冲天，很快就消失在云层中。
21,　　与渤海、黄海和东海相比，南海海域水文气象条件更加复杂，加之连日来受冷空气影响，训练海域海况较差，站在排水量数万吨的辽宁舰上都能感到明显的摇晃，这给舰载机起降训练带来了诸多挑战。
22,　　针对这些困难，编队按照“大胆地飞、科学地飞、安全地飞”这一组训思路，周密制定训练方案，深入做好风险评估，适时调整训练计划，在各部位的精密协同下，顺利进行了多个架次的舰载机训练，为航母编队战斗力的形成积累了重要经验。
23,　　与此同时，辽宁舰编队还在南海海域进行了多个项目和多型舰载直升机的训练试验任务，进一步提升舰机融合水平，锤炼编队协同指挥能力。(完)
