,content
0,"　　,中新网,深圳1月2日电（记者 郑小红）2017年深圳网球公开赛单打正赛1日在深圳市龙岗区体育中心正式开打。7号种子尼库莱斯库携手本土人气球员王蔷取得开门红，晋级女单次轮。"
1,　　1日的首场比赛中，世界排名38位的尼库莱斯库面临了来自中国球员张恺琳的巨大挑战。开局不利的她最终耗时两小时四十分钟才艰难以5-7，6-1，6-3战胜中国外卡选手张恺琳。
2,　　参赛球员中排名最高的中国球员王蔷当日表现神勇，用时74分钟便以6-2，6-3横扫俄罗斯球员罗迪娜。
3,　　王蔷今年24岁，来自天津，因其纯真的性格颇受欢迎。本场比赛她充分利用球场调动对手的跑动，赢得她对这位俄罗斯对手的第三场胜利。
4,　　四名从资格赛中突围成功的球员也已产生，她们是突尼斯球员加布尔、中华台北球员张凯贞、塞尔维亚球员斯托扬诺维奇、瑞士球员沃格勒。
5,　　当天组委会还举办了一场别开生面的儿童日活动。将近30名儿童参与了活动，并与自己的网球偶像亲密接触并互动。这项被称为冠军儿童日的活动也逐渐成为了深圳公开赛的传统。
6,　　深圳公开赛是由中国网球协会、深圳市文体旅游局、央视IMG体育赛事管理有限公司主办，由深圳龙岗区文体旅游局、佳兆业文化、弘金地体育承办。（完）
7,　　原标题：2017年全国马拉松赛事预计将超500场
8,　　赛事服务也得“跑起来”
9,　　寒冷的冬季并未挡住人们奔跑的热情，2017年刚刚到来，作为国际田联金标赛事的厦门马拉松便于新年第二天“迫不及待”地举行，而不到一周后海口马拉松的发令枪也将打响。“2017年国内预计将有500场以上的马拉松赛事。”国家体育总局田径运动管理中心副主任王大卫说。
10,　　据统计，2016年仅在中国田径协会注册的马拉松赛事便达到了328场，继续呈现出爆发式增长的态势，2015年，这个数字还仅仅停留在134场。如果算上未在中国田协注册的纯“民间”赛事，国内全年的路跑赛事还要更多。
11,　　王大卫认为，马拉松赛事的爆发式增长并非是刻意为之，而是随着社会经济发展、群众健身意识提高自然而然出现的结果，“一方面中国社会经济发展取得巨大进步，人民群众的健康意识得到很大提高，健身需求旺盛；另一方面与其他运动项目相比，马拉松简单经济，适合大部分人群；跑步能由内而外提升人体健康指数，在塑造健美肌肉的同时，提升心血管功能；参与马拉松赛事，可以在检验平日跑步成果的同时，享受跑友盛会，获得心灵上的满足。”
12,　　因此，作为马拉松项目的管理者，中国田协所需做的便是从群众的健身需求出发，因势而动、因势利导，加强对公众的产品提供。而对赛事组织者来说，要想在同越来越多的竞争对手的较量中脱颖而出，则必须明确自身的优势与定位，打造自身的特色。
13,　　将于2月26日举行的海南三亚国际马拉松，1月5日正式发起报名。与目前不少赛事着力提升外国特邀选手的数量和水平不同，海南马拉松正在努力降低特邀选手的名额，“我们会在适当的时候不再设特邀运动员。”海南省文化广电出版体育厅副厅长杨毅光说，“国际田联在评定金标、银标等赛事等级时，对于赛事的选手完赛率、成绩等指标有明确要求，因此有意参评金标的赛事还应邀请特邀运动员。但对年轻的海南马拉松来说，还是要脚踏实地，首先争取更多业余跑友来参加，一步步把工作做好。”
14,　　不可否认的是，目前国内的马拉松赛事，无论从办赛还是参赛的角度来说都有许多需要提高的地方，乱扔垃圾、随处便溺、替跑、猝死等问题与现象仍不时出现于一些赛事之中。
15,　　王大卫认为，实际上办赛方都希望把赛事办好，为跑者提供更周到细致的服务，但在经验上还有一些缺乏。
16,"　　,中新网,北京1月2日电 2017年新年伊始第一天，2016Tennis123网球分级赛年终总决赛在国家网球中心打响。单打5.0级至2.5级和双打9.0级至6.0级等从高到低17个级别的年终排名前8名、合计192位选手，向着各自级别的年终总冠军发起冲击，并决出了最终的胜利者。"
17,　　Tennis123网球分级赛创办于2004年，从2011年开始，每年举办一次年终总决赛，参赛资格限于每个级别的年终排名前8选手，至今已成功举办了5届。
18,　　借鉴美国现行网球分级标准USTA模式，经过本土化改良，Tennis123分级赛形成了以选手能力和战绩为依据的等级标准。不论年龄、性别、身份，根据实力划分档次，让水平更接近、比赛更激烈，把胜负悬念保留到比赛最后一刻，使得选手都有机会实现“总有一个冠军属于你”。
19,　　Tennis123创始人汪俊对记者详细解释了这一分级赛制：5.0级代表了业余顶尖、专业退役及全国大学生冠军和全国16岁14岁全国冠军水平，4.5和4.0级属于业余好手，3.5级是业余中级水平、是每一位爱好者通过努力都能达到的级别，3.0和2.5级是业余初级选手。目前双打最高级为9.0，即为两位4.5级以上选手组合，最基本级为6.0级双打、是两位平均3.0级选手组合。
20,　　相比去年元旦12个级别总决赛，今年赛事升级达到17个级别。总决赛除了青少年分级赛比去年多了2.5和4.0外，还增加了女双7.0、混双7.0和6.0，总决赛人数比去年的128人多出了64人。Tennis123分级赛在2016年共成功举办了826站赛事，比去年正好多一倍，历史总计达到3825站各级比赛，榜上有名的各级选手超过12000人。
21,　　随着Tennis123分级赛平台的日趋成熟，有越来越多的爱好者被吸引，并通过这样水平接近的同级赛得到了实际有效的快速提升，从而更有兴趣越来越多的参赛，同时使得更多场馆积极加盟123分级赛，迅速提高场馆的使用率。接下来，2017年Tennis123计划把分级赛推广到全国30个城市，让各地广大网球爱好者通过标准的123分级赛实战来突破瓶颈提高水平。
